discipline,primary_reason,learner_type,expected_hours_week,LoE_DI,age_DI,nevents,explored,grade_reqs,nforum_posts,course_length,ndays_act,completed_%,grade
8.0,6.0,1.0,3.0,2.0,3.0,0.0,0,0,13.0,70,0.0,0.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,59.0,0,1,0.0,168,4.0,,0.004
2.0,0.0,0.0,0.0,0.0,0.0,663.0,1,1,0.0,363,4.0,,0.059
2.0,6.0,4.0,4.0,3.0,0.0,0.0,0,0,13.0,89,0.0,,0.315
5.0,0.0,0.0,0.0,0.0,0.0,406.0,1,1,12.0,47,0.0,,0.5
4.0,6.0,4.0,3.0,3.0,3.0,0.0,0,0,0.0,58,0.0,0.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,225.0,0,1,1.0,47,2.0,,0.571
2.0,6.0,1.0,3.0,2.0,2.0,0.0,0,0,0.0,63,0.0,0.0,0.931
9.0,0.0,0.0,0.0,0.0,0.0,171.0,0,1,1.0,48,14.0,,0.195
10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,27,2.0,,0.771
4.0,0.0,0.0,0.0,0.0,0.0,189.0,0,1,0.0,77,13.0,0.0,0.643
4.0,3.0,0.0,1.0,2.0,2.0,0.0,0,0,0.0,35,0.0,0.0,0.05
2.0,0.0,0.0,0.0,0.0,0.0,462.0,1,1,0.0,363,5.0,,0.239
2.0,0.0,0.0,0.0,0.0,0.0,247.0,1,1,0.0,42,2.0,,0.25
6.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,2.0,43,7.0,,1.0
10.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,2.0,27,10.0,,0.154
7.0,0.0,0.0,0.0,0.0,0.0,244.0,0,1,0.0,60,5.0,0.056,0.368
5.0,0.0,0.0,0.0,0.0,0.0,644.0,0,1,0.0,47,3.0,,0.5
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,49,0.0,,0.747
8.0,0.0,0.0,0.0,0.0,0.0,4743.0,0,1,7.0,63,48.0,,0.971
2.0,6.0,1.0,2.0,7.0,3.0,0.0,0,0,0.0,67,0.0,0.0,0.172
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4.0,125,3.0,,0.758
9.0,0.0,0.0,0.0,0.0,0.0,63.0,0,0,0.0,48,3.0,,0.069
7.0,3.0,4.0,3.0,3.0,1.0,0.0,0,0,3.0,49,0.0,0.0,0.668
5.0,0.0,0.0,0.0,0.0,0.0,3286.0,1,1,0.0,47,11.0,,0.571
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,109,9.0,,0.186
4.0,0.0,0.0,0.0,0.0,0.0,831.0,0,1,7.0,42,29.0,,0.794
7.0,0.0,0.0,0.0,0.0,0.0,9086.0,1,1,10.0,55,30.0,,0.73
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,35,0.0,,0.78
8.0,6.0,4.0,2.0,2.0,3.0,0.0,0,0,1.0,71,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,1252.0,1,1,0.0,363,3.0,,0.405
2.0,0.0,0.0,0.0,0.0,0.0,770.0,1,1,0.0,363,5.0,,0.946
2.0,2.0,3.0,3.0,8.0,2.0,461.0,0,1,5.0,56,10.0,0.0,0.948
9.0,6.0,6.0,1.0,3.0,2.0,0.0,0,0,0.0,34,0.0,0.0,0.233
2.0,0.0,0.0,0.0,0.0,0.0,532.0,0,1,0.0,363,4.0,,0.52
9.0,0.0,0.0,0.0,0.0,0.0,400.0,0,1,5.0,48,29.0,,0.913
8.0,0.0,0.0,0.0,0.0,0.0,3550.0,0,1,0.0,63,38.0,,0.957
3.0,6.0,1.0,2.0,3.0,1.0,0.0,0,0,0.0,62,0.0,0.083,0.172
2.0,4.0,4.0,4.0,7.0,1.0,0.0,0,0,2.0,63,0.0,0.0,0.908
4.0,0.0,0.0,0.0,0.0,0.0,138.0,0,0,3.0,39,6.0,,0.065
7.0,2.0,3.0,3.0,3.0,1.0,0.0,0,0,0.0,317,0.0,0.0,1.0
7.0,6.0,4.0,6.0,8.0,3.0,0.0,0,0,0.0,56,0.0,0.0,0.021
8.0,0.0,0.0,0.0,0.0,0.0,113.0,0,0,0.0,63,5.0,,0.129
2.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0.0,61,3.0,0.0,0.613
9.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,54,3.0,,0.98
4.0,6.0,5.0,3.0,8.0,2.0,0.0,0,0,0.0,49,0.0,0.0,0.055
4.0,9.0,4.0,2.0,4.0,2.0,0.0,0,0,1.0,58,0.0,0.0,0.55
4.0,5.0,5.0,2.0,3.0,1.0,0.0,0,0,2.0,58,0.0,0.0,0.025
5.0,0.0,0.0,0.0,0.0,0.0,12.0,0,1,0.0,90,0.0,,0.512
4.0,6.0,0.0,1.0,3.0,2.0,60.0,0,0,1.0,70,1.0,0.0,0.05
2.0,8.0,1.0,2.0,3.0,3.0,0.0,0,0,1.0,63,0.0,0.0,0.119
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,55,6.0,,0.219
4.0,5.0,4.0,2.0,8.0,2.0,0.0,0,0,4.0,56,0.0,0.0,0.497
9.0,0.0,0.0,0.0,0.0,0.0,157.0,0,0,0.0,48,3.0,,0.085
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3.0,41,3.0,,0.944
2.0,4.0,3.0,6.0,7.0,2.0,264.0,0,1,0.0,56,12.0,0.0,0.862
4.0,0.0,0.0,0.0,0.0,0.0,298.0,1,1,6.0,53,4.0,,1.0
5.0,6.0,2.0,2.0,3.0,1.0,83.0,0,1,0.0,55,8.0,0.0,0.9
5.0,5.0,1.0,2.0,2.0,1.0,0.0,0,0,0.0,124,0.0,0.0,0.11
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,81,0.0,,0.53
8.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,0.0,50,4.0,,0.179
2.0,6.0,5.0,2.0,3.0,1.0,0.0,0,0,0.0,54,0.0,0.0,0.019
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,67,0.0,,0.164
9.0,6.0,4.0,3.0,3.0,1.0,0.0,0,0,4.0,34,0.0,0.0,0.767
4.0,0.0,0.0,0.0,0.0,0.0,1082.0,0,1,0.0,53,13.0,,0.5
8.0,0.0,0.0,0.0,0.0,0.0,1115.0,0,1,0.0,63,17.0,,0.979
6.0,6.0,3.0,4.0,3.0,2.0,89.0,0,1,7.0,27,9.0,0.0,0.844
4.0,6.0,4.0,4.0,3.0,3.0,53.0,0,0,2.0,39,1.0,0.0,0.065
4.0,3.0,4.0,3.0,2.0,2.0,0.0,0,0,4.0,58,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,1141.0,1,1,1.0,35,2.0,,0.494
8.0,6.0,4.0,3.0,3.0,3.0,0.0,0,0,0.0,71,0.0,0.0,1.0
2.0,6.0,4.0,4.0,2.0,3.0,0.0,0,0,9.0,54,0.0,0.0,0.167
2.0,3.0,4.0,3.0,2.0,1.0,0.0,0,0,0.0,67,0.0,0.0,0.062
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,41,0.0,,0.084
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,56,0.0,,0.069
9.0,6.0,1.0,3.0,2.0,1.0,0.0,0,0,0.0,42,0.0,0.0,0.069
5.0,0.0,0.0,0.0,0.0,0.0,51.0,1,1,0.0,146,1.0,0.0,0.046
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,97,0.0,,0.147
2.0,9.0,1.0,3.0,1.0,1.0,0.0,0,0,0.0,196,0.0,0.0,0.008
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,62,0.0,0.0,0.219
5.0,0.0,0.0,0.0,0.0,0.0,232.0,1,1,0.0,146,5.0,,0.13
9.0,0.0,0.0,0.0,0.0,0.0,440.0,0,1,1.0,48,11.0,,0.876
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,56,0.0,,0.092
4.0,6.0,6.0,2.0,3.0,1.0,0.0,0,0,4.0,35,0.0,0.0,1.0
5.0,6.0,4.0,2.0,2.0,2.0,0.0,0,0,0.0,133,0.0,0.0,0.079
8.0,0.0,0.0,0.0,0.0,0.0,1263.0,0,1,0.0,63,11.0,,0.95
8.0,6.0,3.0,4.0,5.0,3.0,133.0,0,0,1.0,55,7.0,0.0,0.339
6.0,3.0,2.0,5.0,2.0,1.0,0.0,0,1,2.0,27,0.0,0.0,0.489
1.0,1.0,3.0,3.0,6.0,2.0,411.0,0,0,63.0,42,21.0,0.0,0.99
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,66,3.0,,0.061
4.0,6.0,1.0,2.0,2.0,2.0,0.0,0,0,0.0,58,0.0,0.0,0.525
5.0,0.0,0.0,0.0,0.0,0.0,89.0,1,1,0.0,146,5.0,0.0,0.051
3.0,2.0,1.0,2.0,0.0,3.0,0.0,0,0,3.0,62,0.0,0.0,0.062
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,49,0.0,,0.507
8.0,0.0,0.0,0.0,0.0,0.0,225.0,0,0,0.0,50,27.0,,0.077
2.0,6.0,4.0,5.0,0.0,3.0,100.0,0,1,1.0,33,3.0,0.0,0.062
4.0,2.0,1.0,3.0,3.0,2.0,0.0,0,0,0.0,49,0.0,0.0,0.077
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,165,0.0,,0.097
7.0,8.0,4.0,3.0,3.0,1.0,0.0,0,0,0.0,69,0.0,0.0,0.5
8.0,6.0,4.0,6.0,7.0,3.0,0.0,0,0,8.0,70,0.0,0.0,0.569
2.0,6.0,3.0,2.0,3.0,2.0,335.0,0,1,9.0,55,23.0,0.0,0.981
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,41,0.0,,0.842
8.0,2.0,6.0,3.0,7.0,2.0,4.0,0,0,25.0,70,3.0,0.0,0.941
2.0,6.0,1.0,2.0,6.0,1.0,36.0,0,1,0.0,33,3.0,0.0,0.562
8.0,0.0,0.0,0.0,0.0,0.0,11772.0,0,1,0.0,63,46.0,,0.979
1.0,6.0,4.0,3.0,2.0,2.0,82.0,0,0,1.0,35,1.0,0.0,0.122
4.0,0.0,0.0,0.0,0.0,0.0,107.0,0,0,0.0,46,18.0,,1.0
2.0,6.0,2.0,4.0,3.0,2.0,186.0,0,1,4.0,63,9.0,0.0,1.0
8.0,6.0,4.0,3.0,7.0,2.0,0.0,0,0,0.0,70,0.0,0.0,0.098
4.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0.0,53,4.0,,0.5
4.0,6.0,4.0,4.0,5.0,3.0,0.0,0,0,8.0,42,0.0,0.0,0.366
8.0,0.0,0.0,0.0,0.0,0.0,609.0,0,0,0.0,50,4.0,,0.103
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,109,1.0,,0.131
5.0,6.0,4.0,3.0,5.0,2.0,0.0,0,0,0.0,21,0.0,0.0,0.725
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,66,3.0,,0.286
9.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0.0,48,2.0,,0.2
2.0,1.0,6.0,3.0,3.0,2.0,0.0,0,0,1.0,54,0.0,0.0,0.019
8.0,0.0,0.0,0.0,0.0,0.0,2644.0,0,1,0.0,63,20.0,,0.986
2.0,6.0,3.0,2.0,2.0,1.0,3.0,0,0,0.0,35,10.0,0.0,0.812
5.0,6.0,1.0,2.0,3.0,2.0,0.0,0,0,0.0,21,0.0,0.0,0.25
7.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,66,1.0,,0.129
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,46,2.0,,0.043
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,91,7.0,,0.126
2.0,6.0,3.0,3.0,3.0,2.0,64.0,0,0,2.0,35,11.0,0.0,0.812
9.0,0.0,0.0,0.0,0.0,0.0,36.0,0,1,0.0,48,5.0,,0.066
4.0,6.0,4.0,2.0,3.0,2.0,18.0,0,0,4.0,39,2.0,0.0,0.065
2.0,0.0,0.0,0.0,0.0,0.0,892.0,1,1,7.0,35,4.0,,0.988
4.0,6.0,0.0,2.0,3.0,2.0,31.0,0,0,0.0,70,4.0,0.0,0.05
2.0,8.0,2.0,3.0,3.0,2.0,191.0,0,0,0.0,123,12.0,0.0,0.27
2.0,0.0,0.0,0.0,0.0,0.0,46.0,0,0,0.0,46,2.0,,0.109
7.0,0.0,0.0,0.0,0.0,0.0,2962.0,1,1,3.0,55,8.0,,0.394
4.0,3.0,4.0,3.0,2.0,1.0,0.0,0,0,0.0,56,0.0,0.0,0.167
8.0,6.0,1.0,2.0,5.0,1.0,0.0,0,0,0.0,55,0.0,0.0,0.777
2.0,5.0,4.0,2.0,2.0,1.0,63.0,0,1,1.0,33,2.0,0.062,0.044
4.0,6.0,1.0,3.0,3.0,1.0,0.0,0,0,3.0,58,0.0,0.083,1.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,35,0.0,,0.025
8.0,6.0,4.0,3.0,3.0,3.0,27.0,0,0,1.0,71,2.0,0.077,1.0
5.0,0.0,0.0,0.0,0.0,0.0,401.0,0,1,4.0,47,2.0,,0.571
2.0,6.0,6.0,2.0,3.0,2.0,0.0,0,0,0.0,63,0.0,0.0,0.063
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,70,0.0,,0.902
5.0,0.0,0.0,0.0,0.0,0.0,361.0,1,1,0.0,146,17.0,,0.209
7.0,3.0,2.0,3.0,1.0,1.0,0.0,0,0,0.0,317,0.0,0.0,0.847
4.0,6.0,4.0,3.0,3.0,2.0,0.0,0,0,0.0,46,2.0,0.0,0.8
4.0,1.0,4.0,2.0,2.0,2.0,0.0,0,0,0.0,49,0.0,0.0,0.154
5.0,3.0,5.0,4.0,2.0,1.0,0.0,0,0,1.0,21,0.0,0.0,0.2
2.0,0.0,0.0,0.0,0.0,0.0,3705.0,1,1,0.0,363,0.0,,0.991
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,56,0.0,,0.092
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,66,3.0,,0.735
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,363,8.0,,0.649
2.0,6.0,1.0,3.0,0.0,2.0,86.0,0,1,1.0,33,1.0,0.0,0.526
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,43,1.0,,0.25
4.0,6.0,4.0,3.0,3.0,2.0,0.0,0,0,3.0,56,0.0,0.0,0.167
8.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0.0,50,2.0,,0.103
4.0,6.0,4.0,2.0,3.0,1.0,90.0,0,0,1.0,39,2.0,0.0,0.065
8.0,0.0,0.0,0.0,0.0,0.0,2798.0,0,1,0.0,63,6.0,,0.95
2.0,0.0,0.0,0.0,0.0,0.0,332.0,1,1,10.0,35,3.0,,0.988
2.0,6.0,5.0,4.0,3.0,1.0,0.0,0,1,1.0,33,0.0,0.167,0.517
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,36,0.0,,0.927
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,48,0.0,,0.189
8.0,0.0,0.0,0.0,0.0,0.0,41240.0,0,1,1.0,63,31.0,,0.993
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,63,0.0,0.0,0.087
7.0,6.0,5.0,4.0,1.0,2.0,0.0,0,0,2.0,69,0.0,0.0,0.118
8.0,9.0,1.0,2.0,1.0,1.0,0.0,0,0,0.0,70,0.0,0.0,0.098
8.0,0.0,0.0,0.0,0.0,0.0,841.0,0,1,0.0,63,4.0,,0.95
2.0,2.0,4.0,3.0,3.0,1.0,0.0,0,0,0.0,54,0.0,0.0,0.803
8.0,0.0,0.0,0.0,0.0,0.0,7859.0,0,1,0.0,63,20.0,,0.929
5.0,0.0,0.0,0.0,0.0,0.0,42.0,0,1,0.0,146,1.0,0.304,0.085
2.0,6.0,4.0,4.0,3.0,2.0,0.0,0,0,0.0,54,0.0,0.013,0.745
9.0,9.0,4.0,3.0,3.0,1.0,0.0,0,0,1.0,81,0.0,0.0,0.2
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,69,0.0,0.0,0.785
2.0,6.0,3.0,4.0,7.0,0.0,211.0,0,1,10.0,98,13.0,,0.179
8.0,6.0,2.0,4.0,7.0,1.0,210.0,0,1,0.0,28,7.0,0.0,1.0
9.0,6.0,1.0,3.0,2.0,2.0,0.0,0,0,4.0,81,0.0,0.0,0.2
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,363,4.0,,0.685
8.0,6.0,2.0,3.0,3.0,2.0,267.0,0,0,0.0,55,15.0,0.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,82.0,0,1,1.0,60,10.0,,0.027
4.0,6.0,1.0,2.0,3.0,3.0,0.0,0,0,12.0,28,0.0,0.0,0.4
4.0,0.0,0.0,0.0,0.0,0.0,2917.0,0,1,44.0,85,2.0,,0.7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,35,0.0,,0.073
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,56,0.0,,0.006
6.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0.0,42,3.0,,0.167
8.0,6.0,1.0,3.0,7.0,2.0,0.0,0,0,0.0,71,0.0,0.0,0.18
2.0,2.0,5.0,1.0,3.0,0.0,0.0,0,0,1.0,89,0.0,,0.13
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,63,0.0,,0.237
2.0,0.0,0.0,0.0,0.0,0.0,90.0,0,1,0.0,365,2.0,,0.082
8.0,0.0,0.0,0.0,0.0,0.0,126.0,0,0,0.0,50,9.0,,0.205
5.0,0.0,0.0,0.0,0.0,0.0,73.0,1,1,0.0,146,2.0,0.386,0.057
1.0,6.0,4.0,3.0,3.0,2.0,119.0,0,0,0.0,35,7.0,0.0,0.976
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,66,2.0,,0.912
4.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1.0,35,1.0,0.0,0.1
9.0,0.0,0.0,0.0,0.0,0.0,2306.0,1,1,9.0,48,1.0,0.0,0.933
9.0,9.0,1.0,2.0,3.0,2.0,0.0,0,0,4.0,81,0.0,0.0,0.971
4.0,2.0,4.0,3.0,2.0,2.0,0.0,0,0,0.0,58,0.0,0.0,0.5
8.0,0.0,0.0,0.0,0.0,0.0,3977.0,0,1,0.0,63,23.0,,0.936
2.0,3.0,1.0,2.0,2.0,1.0,0.0,0,0,1.0,67,0.0,0.0,0.695
8.0,0.0,0.0,0.0,0.0,0.0,1447.0,0,1,2.0,63,15.0,,0.964
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,63,0.0,0.039,0.062
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,56,0.0,,1.0
7.0,6.0,1.0,2.0,3.0,2.0,0.0,0,0,0.0,40,0.0,0.0,0.4
4.0,0.0,0.0,0.0,0.0,0.0,2180.0,1,1,22.0,53,8.0,,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,48,0.0,,0.693
5.0,6.0,1.0,2.0,5.0,2.0,0.0,0,0,2.0,21,0.0,0.0,0.625
8.0,0.0,0.0,0.0,0.0,0.0,1161.0,0,1,0.0,63,31.0,,0.957
9.0,0.0,0.0,0.0,0.0,0.0,141.0,0,1,0.0,48,7.0,,0.359
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,60,0.0,0.0,0.097
2.0,6.0,1.0,3.0,3.0,2.0,62.0,0,1,0.0,33,3.0,0.0,0.558
8.0,0.0,0.0,0.0,0.0,0.0,5607.0,0,1,3.0,63,8.0,,1.0
8.0,0.0,0.0,0.0,0.0,0.0,95.0,0,0,0.0,50,18.0,,0.077
7.0,0.0,0.0,0.0,0.0,0.0,1495.0,1,1,3.0,48,13.0,,1.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,20,0.0,,1.0
2.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0.0,63,1.0,,0.062
2.0,6.0,2.0,4.0,6.0,0.0,211.0,0,1,0.0,98,9.0,,0.214
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0,109,10.0,,0.429
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,27,0.0,0.648,0.244
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,63,6.0,,0.129
5.0,0.0,0.0,0.0,0.0,0.0,16.0,0,0,0.0,122,0.0,,0.041
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,333,0.0,,0.056
9.0,0.0,0.0,0.0,0.0,0.0,99.0,0,1,0.0,48,7.0,,0.246
9.0,3.0,4.0,5.0,1.0,2.0,0.0,0,0,11.0,77,0.0,0.0,0.242
2.0,6.0,1.0,3.0,1.0,0.0,0.0,0,0,0.0,89,0.0,,0.05
9.0,6.0,1.0,3.0,5.0,3.0,0.0,0,0,2.0,81,0.0,0.0,1.0
9.0,6.0,4.0,3.0,8.0,2.0,0.0,0,0,4.0,81,0.0,0.0,0.99
4.0,0.0,0.0,0.0,0.0,0.0,139.0,0,1,0.0,53,5.0,,1.0
4.0,5.0,4.0,4.0,8.0,1.0,0.0,0,0,0.0,58,0.0,0.0,1.0
7.0,6.0,4.0,6.0,2.0,2.0,0.0,0,0,2.0,69,0.0,0.0,0.027
2.0,6.0,4.0,2.0,2.0,1.0,0.0,0,0,2.0,56,0.0,0.0,0.121
2.0,6.0,4.0,3.0,3.0,0.0,0.0,0,0,0.0,89,0.0,,0.025
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,56,0.0,,0.042
8.0,0.0,0.0,0.0,0.0,0.0,3141.0,0,1,0.0,63,26.0,,0.979
8.0,0.0,0.0,0.0,0.0,0.0,94.0,0,1,3.0,42,2.0,,0.065
7.0,0.0,0.0,0.0,0.0,0.0,1376.0,0,1,0.0,55,0.0,,0.27
2.0,0.0,0.0,0.0,0.0,0.0,42.0,1,1,0.0,363,2.0,,0.104
5.0,0.0,0.0,0.0,0.0,0.0,1103.0,0,1,0.0,146,51.0,,0.671
8.0,0.0,0.0,0.0,0.0,0.0,4904.0,0,1,0.0,63,25.0,,0.979
4.0,1.0,4.0,2.0,2.0,2.0,0.0,0,0,2.0,41,0.0,0.0,0.193
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,55,0.0,,0.184
2.0,5.0,1.0,3.0,3.0,1.0,0.0,0,0,3.0,54,0.0,0.0,0.146
8.0,0.0,0.0,0.0,0.0,0.0,2290.0,1,1,0.0,41,2.0,,0.412
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,48,6.0,,0.398
8.0,10.0,4.0,4.0,6.0,2.0,4.0,0,0,0.0,70,3.0,0.0,0.98
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,41,3.0,,1.0
2.0,6.0,1.0,3.0,7.0,1.0,0.0,0,0,6.0,63,0.0,0.0,0.125
2.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1,2.0,41,5.0,,0.675
9.0,6.0,4.0,4.0,8.0,1.0,0.0,0,0,1.0,81,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,53,0.0,0.824,0.079
